IP Packet: 192.168.0.151 -> 192.168.0.1 | Protocol: UDP | Source Port: 36147 | Dest Port: 53
IP Packet: 192.168.0.151 -> 192.168.0.1 | Protocol: UDP | Source Port: 21932 | Dest Port: 53
IP Packet: 192.168.0.1 -> 192.168.0.151 | Protocol: UDP | Source Port: 53 | Dest Port: 36147
IP Packet: 192.168.0.151 -> 192.168.0.1 | Protocol: UDP | Source Port: 10550 | Dest Port: 53
IP Packet: 192.168.0.151 -> 192.168.0.1 | Protocol: UDP | Source Port: 23286 | Dest Port: 53
IP Packet: 192.168.0.1 -> 192.168.0.151 | Protocol: UDP | Source Port: 53 | Dest Port: 21932
IP Packet: 192.168.0.151 -> 192.168.0.1 | Protocol: ICMP
IP Packet: 192.168.0.151 -> 142.251.221.174 | Protocol: TCP | Source Port: 34382 | Dest Port: 80
IP Packet: 192.168.0.151 -> 192.168.0.1 | Protocol: UDP | Source Port: 9013 | Dest Port: 53
IP Packet: 192.168.0.151 -> 192.168.0.1 | Protocol: UDP | Source Port: 16368 | Dest Port: 53
IP Packet: 192.168.0.1 -> 192.168.0.151 | Protocol: UDP | Source Port: 53 | Dest Port: 10550
IP Packet: 192.168.0.1 -> 192.168.0.151 | Protocol: UDP | Source Port: 53 | Dest Port: 9013
IP Packet: 192.168.0.1 -> 192.168.0.151 | Protocol: UDP | Source Port: 53 | Dest Port: 23286
IP Packet: 192.168.0.151 -> 142.250.206.35 | Protocol: TCP | Source Port: 37396 | Dest Port: 443
IP Packet: 192.168.0.1 -> 192.168.0.151 | Protocol: UDP | Source Port: 53 | Dest Port: 16368
IP Packet: 192.168.0.151 -> 142.250.195.234 | Protocol: UDP | Source Port: 41615 | Dest Port: 443
IP Packet: 192.168.0.151 -> 142.250.195.234 | Protocol: UDP | Source Port: 41615 | Dest Port: 443
IP Packet: 192.168.0.151 -> 142.250.195.234 | Protocol: TCP | Source Port: 60720 | Dest Port: 443
IP Packet: 192.168.0.151 -> 192.168.0.1 | Protocol: UDP | Source Port: 38605 | Dest Port: 53
IP Packet: 192.168.0.151 -> 192.168.0.1 | Protocol: UDP | Source Port: 24842 | Dest Port: 53
IP Packet: 192.168.0.1 -> 192.168.0.151 | Protocol: UDP | Source Port: 53 | Dest Port: 38605
IP Packet: 192.168.0.1 -> 192.168.0.151 | Protocol: UDP | Source Port: 53 | Dest Port: 24842
IP Packet: 192.168.0.151 -> 142.250.195.234 | Protocol: TCP | Source Port: 60732 | Dest Port: 443
IP Packet: 192.168.0.151 -> 192.168.0.1 | Protocol: UDP | Source Port: 42013 | Dest Port: 53
IP Packet: 192.168.0.151 -> 192.168.0.1 | Protocol: UDP | Source Port: 42721 | Dest Port: 53
IP Packet: 192.168.0.1 -> 192.168.0.151 | Protocol: UDP | Source Port: 53 | Dest Port: 42013
IP Packet: 192.168.0.1 -> 192.168.0.151 | Protocol: UDP | Source Port: 53 | Dest Port: 42721
